,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
0,1,Bad Boys for Life,-,-,-,"$204,417,855",3775,"$206,305,244",Jan 17,Sony Pictures Entertainment (SPE),False
1,2,1917,-,-,-,"$157,901,466",3987,"$159,227,644",Dec 25,Universal Pictures,False
2,3,Sonic the Hedgehog,-,-,-,"$146,066,470",4198,"$148,974,665",Feb 14,Paramount Pictures,False
3,4,Jumanji: The Next Level,-,-,-,"$124,736,710",4227,"$320,314,960",Dec 13,Sony Pictures Entertainment (SPE),False
4,5,Star Wars: Episode IX - The Rise of Skywalker,-,-,-,"$124,496,308",4406,"$515,202,542",Dec 20,Walt Disney Studios Motion Pictures,False
5,6,Birds of Prey,-,-,-,"$84,158,461",4236,"$84,158,461",Feb 7,Warner Bros.,False
6,7,Dolittle,-,-,-,"$77,047,065",4155,"$77,047,065",Jan 17,Universal Pictures,False
7,8,Little Women,-,-,-,"$70,508,087",3308,"$108,101,214",Dec 25,Sony Pictures Entertainment (SPE),False
8,9,The Invisible Man,-,-,-,"$64,914,050",3636,"$70,410,000",Feb 28,Universal Pictures,False
9,10,The Call of the Wild,-,-,-,"$62,342,368",3914,"$62,342,368",Feb 21,20th Century Studios,False
10,11,Onward,-,-,-,"$61,555,145",4310,"$61,555,145",Mar 6,Walt Disney Studios Motion Pictures,False
11,12,Tenet,-,-,-,"$57,235,189",2930,"$58,504,105",Sep 3,Warner Bros.,False
12,13,Knives Out,-,-,-,"$49,651,655",3461,"$165,363,234",Nov 27,Lionsgate,False
13,14,Frozen II,-,-,-,"$47,228,896",4440,"$477,373,578",Nov 22,Walt Disney Studios Motion Pictures,False
14,15,Spies in Disguise,-,-,-,"$37,433,325",3502,"$66,757,013",Dec 25,Twentieth Century Fox,False
15,16,The Gentlemen,-,-,-,"$36,471,397",2675,"$36,471,795",Jan 24,STX Entertainment,False
16,17,Just Mercy,-,-,-,"$35,733,621",2457,"$36,001,502",Dec 25,Warner Bros.,False
17,18,The Croods: A New Age,-,-,-,"$32,334,280",2211,"$58,568,815",Nov 25,Universal Pictures,False
18,19,Parasite,-,-,-,"$30,736,060",2001,"$53,369,749",Oct 11,Neon,False
19,20,Fantasy Island,-,-,-,"$26,441,782",2784,"$27,309,289",Feb 14,Sony Pictures Entertainment (SPE),False
20,21,Uncut Gems,-,-,-,"$25,789,956",2686,"$50,023,780",Dec 13,A24,False
21,22,The New Mutants,-,-,-,"$24,044,274",2754,"$23,852,659",Aug 28,20th Century Studios,False
22,23,Wonder Woman 1984,-,-,-,"$23,009,311",2218,"$46,801,036",Dec 25,Warner Bros.,False
23,24,Like a Boss,-,-,-,"$22,169,514",3081,"$22,169,514",Jan 10,Paramount Pictures,False
24,25,The Grudge,-,-,-,"$21,221,803",2642,"$21,221,803",Jan 3,Sony Pictures Entertainment (SPE),False
25,26,Unhinged,-,-,-,"$20,831,465",2402,"$20,831,465",Aug 14,Solstice Studios,False
26,27,The Photograph,-,-,-,"$20,578,185",2516,"$20,578,185",Feb 14,Universal Pictures,False
27,28,The War with Grandpa,-,-,-,"$18,702,194",2365,"$21,277,892",Oct 9,101 Studios,False
28,29,Underwater,-,-,-,"$17,291,078",2791,"$17,291,078",Jan 10,Twentieth Century Fox,False
29,30,The Turning,-,-,-,"$15,472,775",2571,"$15,472,775",Jan 24,Universal Pictures,False
30,31,Gretel & Hansel,-,-,-,"$15,347,654",3007,"$15,347,654",Jan 31,United Artists Releasing,False
31,32,Honest Thief,-,-,-,"$14,163,574",2502,"$14,163,574",Oct 9,Open Road Films (II),False
32,33,My Hero Academia: Heroes Rising,-,-,-,"$13,651,826",1231,"$13,304,000",Feb 26,FUNimation Entertainment,False
33,34,Bombshell,-,-,-,"$13,644,923",1721,"$31,762,808",Dec 13,Lionsgate,False
34,35,The Way Back,-,-,-,"$13,590,514",2718,"$13,590,514",Mar 6,Warner Bros.,False
35,36,Brahms: The Boy II,-,-,-,"$12,611,536",2151,"$12,611,536",Feb 21,STX Entertainment,False
36,37,Jojo Rabbit,-,-,-,"$12,311,180",1173,"$33,370,906",Oct 18,-,False
37,38,Impractical Jokers: The Movie,-,-,-,"$10,466,091",1900,"$10,691,091",Feb 21,truTV,False
38,39,Ford v Ferrari,-,-,-,"$10,427,913",3746,"$117,624,357",Nov 15,Twentieth Century Fox,False
39,40,Emma.,-,-,-,"$10,055,355",1732,"$10,055,355",Feb 21,Focus Features,False
40,41,Bloodshot,-,-,-,"$10,021,787",2861,"$12,561,824",Mar 13,Sony Pictures Entertainment (SPE),False
41,42,I Still Believe,-,-,-,"$9,868,521",3250,"$9,868,521",Mar 13,Lionsgate,False
42,43,Come Play,-,-,-,"$9,505,540",2183,"$10,475,990",Oct 30,Focus Features,False
43,44,Let Him Go,-,-,-,"$9,347,940",2458,"$9,358,025",Nov 6,Focus Features,False
44,45,Freaky,-,-,-,"$8,702,060",2472,"$9,030,855",Nov 13,Universal Pictures,False
45,46,Downhill,-,-,-,"$8,287,061",2311,"$8,287,061",Feb 14,Searchlight Pictures,False
46,47,Weathering with You,-,-,-,"$7,798,743",1020,"$8,056,636",Jan 15,GKIDS,False
47,48,Cats,-,-,-,"$7,196,675",3380,"$27,166,770",Dec 20,Universal Pictures,False
48,49,The Hunt,-,-,-,"$5,812,500",3028,"$5,812,500",Mar 13,Universal Pictures,False
49,50,The Rhythm Section,-,-,-,"$5,437,971",3049,"$5,437,971",Jan 31,Paramount Pictures,False
50,51,Monster Hunter,-,-,-,"$5,018,403",1817,"$15,162,470",Dec 18,Screen Gems,False
51,52,A Beautiful Day in the Neighborhood,-,-,-,"$4,997,062",3491,"$61,704,055",Nov 22,Sony Pictures Entertainment (SPE),False
52,53,Hocus Pocus2020 Re-release,-,-,-,"$4,828,000",2570,"$4,828,000",Oct 2,Walt Disney Studios Motion Pictures,False
53,54,Richard Jewell,-,-,-,"$4,523,325",2502,"$22,345,542",Dec 13,Warner Bros.,False
54,55,The SpongeBob Movie: Sponge on the Run,-,-,-,"$4,386,619",326,"$4,810,790",Aug 14,Paramount Pictures,False
55,56,The Broken Hearts Gallery,-,-,-,"$4,067,442",2221,"$4,067,442",Sep 11,TriStar Pictures,False
56,57,Infidel,-,-,-,"$4,051,990",1885,"$4,051,990",Sep 18,Cloudburst Entertainment,False
57,58,News of the World,-,-,-,"$3,717,170",1986,"$12,668,325",Dec 25,Universal Pictures,False
58,59,Portrait of a Lady on Fire,-,-,-,"$3,641,251",334,"$3,759,854",Dec 6,Neon,False
59,60,Bill & Ted Face the Music,-,-,-,"$3,498,714",1007,"$3,439,660",Aug 28,United Artists Releasing,False
60,61,2020 Oscar Nominated Short Films,-,-,-,"$3,306,611",536,"$3,306,611",Jan 31,Magnolia Pictures,False
61,62,Queen & Slim,-,-,-,"$3,089,365",1715,"$43,808,310",Nov 27,Universal Pictures,False
