	Unnamed: 0	Rank	Release	Genre	Budget	Running Time	Gross	Theaters	Total Gross	Release Date	Distributor	Estimated
0	0	1	How the Grinch Stole Christmas	-	-	-	$251,628,705	3256	$260,044,825	Nov 17	Universal Pictures	False
1	1	2	Mission: Impossible II	-	-	-	$215,409,889	3669	$215,409,889	May 24	Paramount Pictures	False
2	2	3	Gladiator	-	-	-	$186,610,052	3188	$187,705,427	May 5	DreamWorks Distribution	False
3	3	4	The Perfect Storm	-	-	-	$182,618,434	3407	$182,618,434	Jun 30	Warner Bros.	False
4	4	5	Meet the Parents	-	-	-	$161,146,255	2697	$166,244,045	Oct 6	Universal Pictures	False
5	5	6	X-Men	-	-	-	$157,299,718	3112	$157,299,718	Jul 14	Twentieth Century Fox	False
6	6	7	Scary Movie	-	-	-	$157,019,771	3301	$157,019,771	Jul 7	Miramax	False
7	7	8	What Lies Beneath	-	-	-	$155,359,812	2925	$155,464,351	Jul 21	DreamWorks Distribution	False
8	8	9	Dinosaur	-	-	-	$137,748,063	3319	$137,748,063	May 19	Walt Disney Studios Motion Pictures	False
9	9	10	Erin Brockovich	-	-	-	$125,595,205	3070	$125,595,205	Mar 17	Universal Pictures	False
10	10	11	Nutty Professor II: The Klumps	-	-	-	$123,305,415	3251	$123,309,890	Jul 28	Universal Pictures	False
11	11	12	Charlie's Angels	-	-	-	$122,693,797	3037	$125,305,545	Nov 3	Sony Pictures Entertainment (SPE)	False
12	12	13	Big Momma's House	-	-	-	$117,559,438	2854	$117,559,438	Jun 2	Twentieth Century Fox	False
13	13	14	Remember the Titans	-	-	-	$113,546,621	2803	$115,654,751	Sep 29	Walt Disney Studios Motion Pictures	False
14	14	15	The Patriot	-	-	-	$113,330,342	3061	$113,330,342	Jun 28	Sony Pictures Entertainment (SPE)	False
15	15	16	What Women Want	-	-	-	$110,187,917	3092	$182,811,707	Dec 15	Paramount Pictures	False
16	16	17	Chicken Run	-	-	-	$106,834,564	2953	$106,834,564	Jun 23	DreamWorks Distribution	False
17	17	18	Gone in 60 Seconds	-	-	-	$101,648,571	3089	$101,648,571	Jun 9	Walt Disney Studios Motion Pictures	False
18	18	19	Cast Away	-	-	-	$100,628,725	3061	$233,632,142	Dec 22	Twentieth Century Fox	False
19	19	20	Me, Myself & Irene	-	-	-	$90,570,999	3087	$90,570,999	Jun 23	Twentieth Century Fox	False
20	20	21	Space Cowboys	-	-	-	$90,107,204	2835	$90,464,773	Aug 4	Warner Bros.	False
21	21	22	Scream 3	-	-	-	$89,143,175	3467	$89,143,175	Feb 4	Dimension Films	False
22	22	23	Unbreakable	-	-	-	$88,304,876	2708	$95,011,339	Nov 22	Walt Disney Studios Motion Pictures	False
23	23	24	U-571	-	-	-	$77,122,415	2820	$77,122,415	Apr 21	Universal Pictures	False
24	24	25	Hollow Man	-	-	-	$73,209,340	2956	$73,209,340	Aug 4	Sony Pictures Entertainment (SPE)	False
25	25	26	Stuart Little	-	-	-	$72,701,240	3151	$140,035,367	Dec 17	Sony Pictures Entertainment (SPE)	False
26	26	27	Shaft	-	-	-	$70,334,258	2433	$70,334,258	Jun 16	Paramount Pictures	False
27	27	28	The Green Mile	-	-	-	$69,839,360	2875	$136,801,374	Dec 10	Warner Bros.	False
