	Unnamed: 0	Release	Gross	Distributor
0	0	How the Grinch Stole Christmas	260044825	Universal Pictures
1	1	Mission: Impossible II	215409889	Paramount Pictures
2	2	Gladiator	187705427	DreamWorks Distribution
3	3	The Perfect Storm	182618434	Warner Bros.
4	4	Meet the Parents	166244045	Universal Pictures
5	5	X-Men	157299718	Twentieth Century Fox
6	6	Scary Movie	157019771	Miramax
7	7	What Lies Beneath	155464351	DreamWorks Distribution
8	8	Dinosaur	137748063	Walt Disney Studios Motion Pictures
9	9	Erin Brockovich	125595205	Universal Pictures
10	10	Nutty Professor II: The Klumps	123309890	Universal Pictures
11	11	Charlie's Angels	125305545	Sony Pictures Entertainment (SPE)
12	12	Big Momma's House	117559438	Twentieth Century Fox
13	13	Remember the Titans	115654751	Walt Disney Studios Motion Pictures
14	14	The Patriot	113330342	Sony Pictures Entertainment (SPE)
15	15	What Women Want	182811707	Paramount Pictures
16	16	Chicken Run	106834564	DreamWorks Distribution
17	17	Gone in 60 Seconds	101648571	Walt Disney Studios Motion Pictures
18	18	Cast Away	233632142	Twentieth Century Fox
19	19	Me, Myself & Irene	90570999	Twentieth Century Fox
20	20	Space Cowboys	90464773	Warner Bros.
21	21	Scream 3	89143175	Dimension Films
22	22	Unbreakable	95011339	Walt Disney Studios Motion Pictures
23	23	U-571	77122415	Universal Pictures
24	24	Hollow Man	73209340	Sony Pictures Entertainment (SPE)
25	25	Stuart Little	140035367	Sony Pictures Entertainment (SPE)
26	26	Shaft	70334258	Paramount Pictures
27	27	The Green Mile	136801374	Warner Bros.
28	28	The Kid	69691949	Walt Disney Studios Motion Pictures
29	29	Rugrats in Paris	76507756	Paramount Pictures
30	30	Road Trip	68540777	DreamWorks Distribution
31	31	Bring It On	68379000	Universal Pictures
32	32	Rules of Engagement	61335230	Paramount Pictures
33	33	The Cell	61334059	New Line Cinema
34	34	Mission to Mars	60883407	Walt Disney Studios Motion Pictures
35	35	Coyote Ugly	60786269	Walt Disney Studios Motion Pictures
36	36	Snow Day	60020107	Paramount Pictures
37	37	Fantasia 2000	60655420	Walt Disney Studios Motion Pictures
38	38	American Beauty	130096601	DreamWorks Distribution
39	39	Next Friday	57328603	New Line Cinema
40	40	The Whole Nine Yards	57262492	Warner Bros.
41	41	Shanghai Noon	56937502	Walt Disney Studios Motion Pictures
42	42	Romeo Must Die	55973336	Warner Bros.
43	43	102 Dalmatians	66957026	Walt Disney Studios Motion Pictures
44	44	The Cider House Rules	57545092	Miramax
45	45	Final Destination	53331147	New Line Cinema
46	46	The Talented Mr. Ripley	81298265	Paramount Pictures
47	47	Galaxy Quest	71583916	DreamWorks Distribution
48	48	The Road to El Dorado	50863742	DreamWorks Distribution
49	49	The Hurricane	50699241	Universal Pictures
50	50	Vertical Limit	69243859	Sony Pictures Entertainment (SPE)
51	51	Men of Honor	48818921	Twentieth Century Fox
52	52	Toy Story 2	245852179	Walt Disney Studios Motion Pictures
53	53	The Tigger Movie	45554533	Walt Disney Studios Motion Pictures
54	54	Frequency	45010278	New Line Cinema
55	55	The Replacements	44737059	Warner Bros.
56	56	Pokémon the Movie 2000	43758684	Warner Bros.
57	57	Miss Congeniality	106807667	Warner Bros.
58	58	Any Given Sunday	75530832	Warner Bros.
59	59	The Beach	39785027	Twentieth Century Fox
60	60	The Exorcist2000 Director's Cut	39671011	Warner Bros.
61	61	Pitch Black	39240659	USA Films
62	62	The Emperor's New Groove	89302687	Walt Disney Studios Motion Pictures
63	63	The Family Man	75793305	Universal Pictures
64	64	Little Nicky	39464775	New Line Cinema
65	65	The Original Kings of Comedy	38182790	Paramount Pictures
66	66	Autumn in New York	37761915	Metro-Goldwyn-Mayer (MGM)
67	67	Bedazzled	37886980	Twentieth Century Fox
68	68	28 Days	37170488	Sony Pictures Entertainment (SPE)
69	69	Keeping the Faith	37047880	Walt Disney Studios Motion Pictures
70	70	Bounce	36805288	Miramax
71	71	Hanging Up	36050230	Sony Pictures Entertainment (SPE)
72	72	The Flintstones in Viva Rock Vegas	35268275	Universal Pictures
73	73	The Skulls	35046120	Universal Pictures
74	74	Mysteries of Egypt	40593486	IMAX
75	75	The 6th Day	34604280	Sony Pictures Entertainment (SPE)
76	76	My Dog Skip	34134641	Warner Bros.
77	77	Where the Heart Is	33772838	Twentieth Century Fox
78	78	Dude, Where's My Car?	46729800	Twentieth Century Fox
79	79	Pay It Forward	33519628	Warner Bros.
80	80	Return to Me	32722798	Metro-Goldwyn-Mayer (MGM)
81	81	Almost Famous	32534850	DreamWorks Distribution
82	82	The Legend of Bagger Vance	30919168	DreamWorks Distribution
83	83	The Art of War	30208599	Warner Bros.
84	84	Bless the Child	29381494	Paramount Pictures
85	85	The Watcher	28946615	Universal Pictures
86	86	Girl, Interrupted	28912646	Sony Pictures Entertainment (SPE)
87	87	Love & Basketball	27459615	New Line Cinema
88	88	High Fidelity	27287137	Walt Disney Studios Motion Pictures
89	89	Book of Shadows: Blair Witch 2	26437094	Artisan Entertainment
90	90	Proof of Life	32598931	Warner Bros.
91	91	The Adventures of Rocky & Bullwinkle	26005820	Universal Pictures
92	92	Nurse Betty	25170054	USA Films
93	93	Bicentennial Man	58223861	Walt Disney Studios Motion Pictures
94	94	Deuce Bigalow: Male Gigolo	65538755	Walt Disney Studios Motion Pictures
95	95	Reindeer Games	23368995	Miramax
96	96	Titan A.E.	22753426	Twentieth Century Fox
97	97	Boys and Girls	21799652	Dimension Films
98	98	Magnolia	22455976	New Line Cinema
99	99	Battlefield Earth	21471685	Warner Bros.
100	100	Urban Legends: Final Cut	21468807	Sony Pictures Entertainment (SPE)
101	101	Down to You	20069008	Miramax
102	102	Wonder Boys	19393557	Paramount Pictures
103	103	Anna and the King	39263420	Twentieth Century Fox
104	104	The Ninth Gate	18661336	Artisan Entertainment
105	105	Dracula 2000	33022767	Miramax
106	106	The Contender	17872723	DreamWorks Distribution
107	107	The Sixth Sense	293506292	Walt Disney Studios Motion Pictures
108	108	Small Time Crooks	17266359	DreamWorks Distribution
109	109	Red Planet	17480890	Warner Bros.
110	110	Center Stage	17200925	Sony Pictures Entertainment (SPE)
111	111	Best in Show	18715392	Warner Bros.
112	112	Boiler Room	16970581	New Line Cinema
113	113	Billy Elliot	21995263	Focus Features
114	114	Lost Souls	16815253	New Line Cinema
115	115	Eye of the Beholder	16500786	Destination Films
116	116	Thomas and the Magic Railroad	15933506	Destination Films
117	117	Loser	15618626	Sony Pictures Entertainment (SPE)
118	118	Drowning Mona	15506764	Destination Films
119	119	Bait	15325127	Warner Bros.
120	120	American Psycho	15070285	Lionsgate
121	121	Get Carter	14967182	Warner Bros.
122	122	The Next Best Thing	14990582	Paramount Pictures
123	123	Man on the Moon	34607430	Universal Pictures
124	124	Snow Falling on Cedars	14417593	Universal Pictures
125	125	Michael Jordan to the Max	18650521	IMAX
126	126	Supernova	14230455	Metro-Goldwyn-Mayer (MGM)
127	127	Dungeons & Dragons	15391970	New Line Cinema
128	128	The Ladies Man	13616610	Paramount Pictures
129	129	The Little Vampire	13572400	New Line Cinema
130	130	Dr. T & the Women	13113041	Artisan Entertainment
131	131	The Crew	13023075	Walt Disney Studios Motion Pictures
132	132	Everest	87178599	MacGillivray Freeman Films
133	133	Angela's Ashes	13042112	Paramount Pictures
134	134	Highlander: Endgame	12811858	Miramax
135	135	Ready to Rumble	12394327	Warner Bros.
136	136	Crouching Tiger, Hidden Dragon	128078872	Sony Pictures Classics
137	137	Saving Grace	12178602	Fine Line Features
138	138	The Legend of Drunken Master	11555430	Miramax
139	139	The World Is Not Enough	126943684	Metro-Goldwyn-Mayer (MGM)
140	140	Here on Earth	10522168	Twentieth Century Fox
141	141	Lucky Numbers	10042516	Paramount Pictures
142	142	Godzilla 2000: Millennium	10037390	Sony Pictures Entertainment (SPE)
143	143	3 Strikes	9832166	Metro-Goldwyn-Mayer (MGM)
144	144	Digimon: The Movie	9631153	Twentieth Century Fox
145	145	The End of the Affair	10827816	Sony Pictures Entertainment (SPE)
146	146	Sleepy Hollow	101071502	Paramount Pictures
147	147	Boys Don't Cry	11540607	-
148	148	Whatever It Takes	8745680	Sony Pictures Entertainment (SPE)
149	149	Cirque du Soleil: Journey of Man	15627434	Sony Pictures Classics
150	150	Play It to the Bone	8434146	Walt Disney Studios Motion Pictures
151	151	T-Rex: Back to the Cretaceous	53354743	IMAX
152	152	Galapagos	18630372	IMAX
153	153	Screwed	7027345	Universal Pictures
154	154	All the Pretty Horses	15540353	Miramax
155	155	I Dreamed of Africa	6651522	Sony Pictures Entertainment (SPE)
156	156	All About My Mother	8272296	Sony Pictures Classics
157	157	Sunshine	5096267	Paramount Classics
158	158	What Planet Are You From?	6291602	Sony Pictures Entertainment (SPE)
159	159	Croupier	6201143	-
160	160	Topsy-Turvy	6208548	USA Films
161	161	The Way of the Gun	6055661	Artisan Entertainment
162	162	Where the Money Is	5661798	USA Films
163	163	The in Crowd	5280035	Warner Bros.
164	164	Black & White	5277299	Sony Pictures Entertainment (SPE)
165	165	Gossip	5108820	Warner Bros.
166	166	Woman on Top	5020111	-
167	167	End of Days	66889043	Universal Pictures
168	168	Being John Malkovich	22863596	USA Films
169	169	The Virgin Suicides	4906229	Paramount Classics
170	170	Duets	4739023	Walt Disney Studios Motion Pictures
171	171	Held Up	4705631	Trimark Pictures
172	172	The Tao of Steve	4342203	Sony Pictures Classics
173	173	Dancer in the Dark	4184036	Fine Line Features
174	174	East Is East	4177818	Miramax
175	175	Whipped	4159986	Destination Films
176	176	Finding Forrester	51804714	Sony Pictures Entertainment (SPE)
177	177	You Can Count on Me	9416804	Paramount Classics
178	178	CyberWorld	11253900	IMAX
179	179	Chocolat	71509363	Miramax
180	180	Extreme	12475172	IMAX
181	181	Price of Glory	3440228	New Line Cinema
182	182	Sweet and Lowdown	4197015	Sony Pictures Classics
183	183	Island of the Sharks	10658505	IMAX
184	184	Ghost Dog: The Way of the Samurai	3308029	Artisan Entertainment
185	185	The Big Kahuna	3165544	Lionsgate
186	186	Beautiful	3157348	Destination Films
187	187	Siegfried & Roy: The Magic Box	5231283	IMAX
188	188	The Insider	29089912	Walt Disney Studios Motion Pictures
189	189	The Bone Collector	66518655	Universal Pictures
190	190	Quills	7065332	-
191	191	Isn't She Great	2962465	Universal Pictures
192	192	Up at the Villa	2933161	USA Films
