,Rank,Title,Lifetime Gross,Year
0,1,Star Wars: Episode VII - The Force Awakens,"$936,662,225",2015
1,2,Avengers: Endgame,"$858,373,000",2019
2,3,Spider-Man: No Way Home,"$814,115,070",2021
3,4,Avatar,"$785,221,649",2009
4,5,Top Gun: Maverick,"$718,732,821",2022
5,6,Black Panther,"$700,426,566",2018
6,7,Avengers: Infinity War,"$678,815,482",2018
7,8,Titanic,"$670,107,079",1997
8,9,Jurassic World,"$653,406,625",2015
9,10,Avatar: The Way of Water,"$652,315,991",2022
10,11,The Avengers,"$623,357,910",2012
11,12,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",2017
12,13,Incredibles 2,"$608,581,744",2018
13,14,The Lion King,"$543,638,043",2019
14,15,The Dark Knight,"$534,987,076",2008
15,16,Rogue One: A Star Wars Story,"$533,539,991",2016
16,17,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542",2019
17,18,Beauty and the Beast,"$504,481,165",2017
18,19,Finding Dory,"$486,295,561",2016
19,20,Frozen II,"$477,373,578",2019
20,21,Star Wars: Episode I - The Phantom Menace,"$474,544,677",1999
21,22,Star Wars: Episode IV - A New Hope,"$460,998,507",1977
22,23,Avengers: Age of Ultron,"$459,005,868",2015
23,24,Black Panther: Wakanda Forever,"$453,678,994",2022
24,25,The Dark Knight Rises,"$448,149,584",2012
25,26,Shrek 2,"$441,226,247",2004
26,27,E.T. the Extra-Terrestrial,"$437,141,279",1982
27,28,Toy Story 4,"$434,038,008",2019
28,29,Captain Marvel,"$426,829,839",2019
29,30,The Hunger Games: Catching Fire,"$424,668,047",2013
30,31,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812",2006
31,32,The Lion King,"$422,783,777",1994
32,33,Jurassic World: Fallen Kingdom,"$417,719,760",2018
33,34,Toy Story 3,"$415,004,880",2010
34,35,Wonder Woman,"$412,845,172",2017
35,36,Doctor Strange in the Multiverse of Madness,"$411,331,607",2022
36,37,Iron Man 3,"$409,013,994",2013
37,38,Captain America: Civil War,"$408,084,349",2016
38,39,The Hunger Games,"$408,010,692",2012
39,40,Spider-Man,"$407,022,860",2002
40,41,Jumanji: Welcome to the Jungle,"$404,540,171",2017
41,42,Jurassic Park,"$404,214,720",1993
42,43,Transformers: Revenge of the Fallen,"$402,111,870",2009
43,44,Frozen,"$400,953,009",2013
44,45,Spider-Man: Far from Home,"$390,532,085",2019
45,46,Guardians of the Galaxy Vol. 2,"$389,813,101",2017
46,47,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587",2011
47,48,Finding Nemo,"$380,843,261",2003
48,49,Star Wars: Episode III - Revenge of the Sith,"$380,270,577",2005
49,50,The Lord of the Rings: The Return of the King,"$378,251,207",2003
50,51,Jurassic World: Dominion,"$376,851,080",2022
51,52,Spider-Man 2,"$373,585,825",2004
52,53,The Passion of the Christ,"$370,782,930",2004
53,54,Minions: The Rise of Gru,"$369,695,210",2022
54,55,The Batman,"$369,345,583",2022
55,56,The Secret Life of Pets,"$368,384,330",2016
56,57,Despicable Me 2,"$368,065,385",2013
57,58,The Jungle Book,"$364,001,123",2016
58,59,Deadpool,"$363,070,709",2016
59,60,Inside Out,"$356,921,711",2015
60,61,Aladdin,"$355,559,216",2019
61,62,Furious 7,"$353,007,020",2015
62,63,Transformers: Dark of the Moon,"$352,390,543",2011
63,64,American Sniper,"$350,159,020",2014
64,65,Thor: Love and Thunder,"$343,256,830",2022
65,66,The Lord of the Rings: The Two Towers,"$342,952,511",2002
66,67,Zootopia,"$341,268,248",2016
67,68,The Hunger Games: Mockingjay - Part 1,"$337,135,885",2014
68,69,Spider-Man 3,"$336,530,303",2007
69,70,Minions,"$336,045,770",2015
70,71,Joker,"$335,477,657",2019
71,72,Aquaman,"$335,104,314",2018
72,73,Spider-Man: Homecoming,"$334,201,140",2017
73,74,Alice in Wonderland,"$334,191,110",2010
74,75,Guardians of the Galaxy,"$333,718,600",2014
75,76,Forrest Gump,"$330,455,270",1994
76,77,Batman v Superman: Dawn of Justice,"$330,360,194",2016
77,78,It,"$328,874,981",2017
78,79,Suicide Squad,"$325,100,054",2016
79,80,Deadpool 2,"$324,591,735",2018
80,81,Shrek the Third,"$322,719,944",2007
81,82,Jumanji: The Next Level,"$320,314,960",2019
82,83,Transformers,"$319,246,193",2007
83,84,Iron Man,"$319,034,126",2008
84,85,Harry Potter and the Sorcerer's Stone,"$318,886,962",2001
85,86,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119",2008
86,87,The Lord of the Rings: The Fellowship of the Ring,"$316,115,420",2001
87,88,Thor: Ragnarok,"$315,058,289",2017
88,89,Iron Man 2,"$312,433,331",2010
89,90,Star Wars: Episode II - Attack of the Clones,"$310,676,740",2002
90,91,Pirates of the Caribbean: At World's End,"$309,420,425",2007
91,92,Star Wars: Episode VI - Return of the Jedi,"$309,306,177",1983
92,93,Independence Day,"$306,169,268",1996
93,94,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918",2003
94,95,Skyfall,"$304,360,277",2012
95,96,The Hobbit: An Unexpected Journey,"$303,030,651",2012
96,97,Harry Potter and the Half-Blood Prince,"$302,334,374",2009
97,98,The Twilight Saga: Eclipse,"$300,531,751",2010
98,99,The Twilight Saga: New Moon,"$297,816,253",2009
99,100,Harry Potter and the Deathly Hallows: Part 1,"$296,374,621",2010
100,101,The Sixth Sense,"$293,506,292",1999
101,102,Up,"$293,004,164",2009
102,103,Star Wars: Episode V - The Empire Strikes Back,"$292,753,960",1980
103,104,Inception,"$292,587,330",2010
104,105,Harry Potter and the Order of the Phoenix,"$292,382,727",2007
105,106,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737",2012
106,107,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957",2005
107,108,Man of Steel,"$291,045,518",2013
108,109,"Monsters, Inc.","$290,642,256",2001
109,110,Harry Potter and the Goblet of Fire,"$290,469,928",2005
110,111,Home Alone,"$285,761,243",1990
111,112,The Hunger Games: Mockingjay - Part 2,"$281,723,902",2015
112,113,The Matrix Reloaded,"$281,576,461",2003
113,114,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133",2011
114,115,Meet the Fockers,"$279,261,160",2004
115,116,The Hangover,"$277,339,746",2009
116,117,Gravity,"$274,092,705",2013
117,118,The Grinch,"$271,384,731",2018
118,119,Sing,"$270,578,425",2016
119,120,Monsters University,"$268,492,764",2013
120,121,Shrek,"$268,163,011",2001
121,122,Jaws,"$265,859,065",1975
122,123,Despicable Me 3,"$264,624,300",2017
123,124,Harry Potter and the Chamber of Secrets,"$262,641,637",2002
124,125,The Amazing Spider-Man,"$262,030,663",2012
125,126,The Incredibles,"$261,441,092",2004
126,127,How the Grinch Stole Christmas,"$260,715,005",2000
127,128,Captain America: The Winter Soldier,"$259,766,572",2014
128,129,The Hobbit: The Desolation of Smaug,"$258,387,334",2013
129,130,The Lego Movie,"$257,966,122",2014
130,131,Star Trek,"$257,730,019",2009
